"filename", "language", "Batch", "JSON", "JSON with Comments", "Markdown", "JavaScript", "vue", "YAML", "Ignore", "XML", "CSS", "SCSS", "HTML", "Docker", "BibTeX", "Properties", "Python", "LaTeX", "pip requirements", "SQL", "comment", "blank", "total"
"c:\Users\Daniel\Documents\quanto\quanto-project\ConnectNetwork.cmd", "Batch", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\Daniel\Documents\quanto\quanto-project\README.md", "Markdown", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\StartServers.cmd", "Batch", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\.dockerignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 35
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\Dockerfile", "Docker", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 7, 6, 25
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\manage.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 5, 24
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\admin.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 3, 6
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\apps.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 1, 3, 8
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\dateValidator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\jsonTemplate.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\generator\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\generator\dateGenerator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 12, 24, 70
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\ProjectsOfEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 3, 10, 47
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\assignedProjects.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 3, 6, 40
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\eligiblePositionIds.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 4, 5, 28
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\positionQuerys.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 5, 8, 77
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\graph\projectQuerys.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 2, 14, 81
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\positionBookings.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 3, 5, 41
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\positionQuerys.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\sqlQuery\timeTable\projectQuerys.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 8, 13, 111
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\dateBack.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 11
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\dateRange.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 2, 10
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\time\roundTime.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 5, 13
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 1, 10
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\checkExistenceDb.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 5, 27, 84
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\dateValidator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 14, 71
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\enumValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonContentValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 194, 0, 0, 0, 8, 33, 235
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonFormValidator.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 215, 0, 0, 0, 8, 35, 258
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonUpateConentValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 0, 2, 9, 41
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonUpdateFormValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 5, 12
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\jsonValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 19, 158
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\mailValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\middleware\validation\otherValidaton.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 5, 26
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\migrations\0001_initial.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 1, 7, 116
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\models.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 3, 33, 182
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\templates\HelloWorld.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_JsonFormValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 0, 0, 0, 0, 76, 297
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_database.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_dateValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 10, 37
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_mailValidation.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_postRoute.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 2, 8, 48
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\tests\test_updateJsonForm.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\urls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 8, 20, 106
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\MyViewTest.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\assignment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 9, 84
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\booking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 1, 8, 86
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\employee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 0, 0, 9, 90
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\forecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 0, 0, 0, 0, 8, 79
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\position.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 0, 0, 9, 73
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\project.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 0, 0, 13, 91
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\basic\team.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 13, 86
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteAssignment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteBooking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteForecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\delete\deleteTeam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 11, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getAllEmployees.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 3, 30
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getAllProjects.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 5, 39
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getAssignment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getBooking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 4, 43
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getEmployeesToProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 36
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getForecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPosition.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPositionsOfProjectOfEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 6, 7, 29
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getPositionsToProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 4, 32
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getProject.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getProjectsOfEmployee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 8, 29
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\get\getTeam.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 5, 44
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 10, 64
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\positionLinearGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 0, 0, 0, 10, 67
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 0, 0, 1, 19, 85
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectAllPositionsPieGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 16, 66
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\graphs\projectProjectionGraph.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 1, 20, 95
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\homeScreen\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\homeScreen\assignedProjects.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 8, 28
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\login.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 0, 16, 61
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\management\getTableData.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 3, 29, 125
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 7
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\assignment.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 8, 59
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\booking.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 7, 8, 69
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\employee.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 18, 101
"c:\Users\Daniel\Documents\quanto\quanto-project\backend\project_management_tool\views\post\forecast.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
